NAMA_SEKOLAH,NSS,NPSN,ALAMAT_SEKOLAH,NAMA_LENGKAP,NIK,JENIS_KELAMIN,TEMPAT_LAHIR,TANGGAL_LAHIR,NAMA_IBU_KANDUNG,ALAMAT_TEMPAT_TINGGAL,DUSUN,KELURAHAN,KECAMATAN,KOTA,PROVINSI,LINTANG_1,LINTANG_2,AGAMA,NPWP,NAMA_WAJIB_PAJAK,KEWARGANEGARAAN,STATUS_KAWIN,NAMA_PASANGAN,PEKERJAAN_PASANGAN,PASANGAN_PNS,NIP_PASANGAN,STATUS_PEGAWAI,PNS,NIP,NIY,NIGB,NUPTK,JENIS_PTK,SK_PENGANGKATAN,TMT_PENGANGKATAN,LEMBAGA_PENGANGKATAN,SK_CPNS,TMT_CPNS,TMT_PNS,PANGKAT,SUMBER_GAJI,KARTU_PEGAWAI,KARIS,NO_SURAT,TGL_SURAT,TMT_TUGAS,SEKOLAH_INDUK,LISENSI_KEPALA_SEKOLAH,KODE_PROGRAM_KEAHLIAN,JENIS_KETUNAAN,SPESIALIS_MENANGANI,STATUS_AKTIF,HP,EMAIL
"Johnson, Bailey and Martin",4871654856165503,6011350009969661,"23734 Jonathan Dam
Barajasfort, OK 10303",Lauren Ramos,584220495413,Perempuan,Port Thomasville,1997-08-01,Steve Foster,"69012 Hanna Inlet
West Paulmouth, NJ 77098",Lake Ashlee,Port Colton,Lake Gregory,North Erica,Angelaland,29.6944975,68.1300105,Hindu,501883173004,Erin Estrada DDS,Ghana,Belum Kawin,Jennifer Cabrera,Arboriculturist,Tidak,676237592651,Tidak Aktif,Iya,6011631256931029,2246677069846330,2265016730686260,3504098303085467,to,4001612024643044,377852519493968,Lewis-Newman,3504548396432265,4671393187274148000,4747691079715328,"['white', 'box', 'major']","Smith, Thomas and Nelson",30034096645307,6502196770366728,180020904506151,1972-12-20,560209100091,Sea son letter free almost near.,Happy though public citizen.,4864061242415445,"['especially', 'sit', 'federal']","['determine', 'case', 'test']",Tidak Aktif,08194592039993,rudi@gmail.com
"Johnson, Nash and Griffith",3590552729188136,340226395826217,"3241 Foster Center
Larryberg, PA 94015",Matthew Rodriguez,376876346601262,Perempuan,Margaretville,2007-07-25,Margaret Jones,"527 Christy Bypass Apt. 328
South Michael, MA 47231",Port Kari,East Devin,Jasonport,Thomasberg,East Mauricestad,-16.8682175,61.5272025,Budha,3588331594124490,Tammy Lane DVM,Turkmenistan,Kawin,Paul Floyd,Operations geologist,Iya,501884035962,Aktif,Iya,4098850224717366,6011838829402764,6569207944763292,3576506610919999,clearly,4768045211408363,4393861307198673,Kelley-Fisher,3596411149478540,4566531669519,4288103642162405,"['human', 'bank', 'necessary']","Smith, Bell and Schwartz",341159451699229,6548519533210758,2684194842738452,2008-10-30,346097120612188,Lead summer large newspaper left picture general.,Close mother institution hundred evidence forget gun.,213141294747535,"['entire', 'life', 'might']","['group', 'ball', 'material']",Tidak Aktif,+1-860-427-0353x57447,joshua43@example.com
David LLC,4325809360922342,4195503241436,"37588 Michelle Circle Apt. 225
Ashleeport, MI 38983",Erin Wise,3519761214061066,Laki-laki,West Samuelborough,1986-12-22,Fernando Church,"Unit 0791 Box 9368
DPO AE 64560",Jacksonfurt,West Kevin,Hartton,North Connie,Port Theresaside,22.0850375,45.6787465,Katolik,180054784184961,James Benitez DDS,Jamaica,Kawin,Jennifer Johnson,"Engineer, building services",Tidak,3504015902709651,Tidak Aktif,Iya,4100458450562021,371813514768586,5239560779973150,3588441689010817,head,2720882496493293,30208478009213,Avila PLC,379162428907332,4060422316674664396,30358989274788,"['sister', 'society', 'threat']",Brown-Sanchez,4394697068000008,4353964351313897,6542691946809744,1986-06-18,3564866241121884,Different grow family clearly start.,Read voice open myself call magazine evening.,675923352073,"['ever', 'second', 'establish']","['happen', 'chance', 'note']",Tidak Aktif,+1-285-248-1252,patrick15@example.com
"Gibson, Rich and Williams",6566963180435937,3513233691319108,"1017 Flores Union
Anntown, NV 92126",Anna Duran,30167913465960,Perempuan,Smithton,2014-12-15,Larry Pena,"PSC 3716, Box 3572
APO AA 85930",Ashleyburgh,Murraytown,Angelatown,Port Johnchester,Port Tonyborough,-35.000033,3.534127,Islam,4541312979740724,Carrie Ruiz,Jamaica,Belum Kawin,Wayne Estrada,Chartered legal executive (England and Wales),Iya,4735796501226,Aktif,Iya,6519614512781039,4920200146946671710,4987265444996,6011030092019182,region,3553261253406220,4286448241100,Dillon-Thompson,4631028360640,377879826623755,4119930027051,"['since', 'while', 'focus']",Juarez and Sons,5574579138223340,213193399506076,348473693733263,1974-03-10,4931545015057967798,Economic identify tax worker assume mother difficult.,Production production agree.,5254811817199872,"['reduce', 'first', 'eight']","['better', 'pay', 'capital']",Tidak Aktif,408.162.7680x072,ulawson@example.net
Jones-King,2720686306799686,6570932205454904,"671 Keller Burg
Kathrynshire, HI 06089",Cindy Jackson,4611902223428020,Laki-laki,Jonesport,2009-07-08,Danielle Thompson,"3790 Roberts Summit
Marymouth, IN 62946",Nelsonfort,South Damonfurt,West Kristy,South Sarahside,North Jamietown,-42.1948085,29.6026115,Katolik,4147453950114865,William Smith,Mauritania,Belum Kawin,Katelyn Martin,Careers information officer,Iya,4613997942668425,Aktif,Tidak,4274846403241,4174950676332920244,4989770337440924219,3584568892389176,trade,4469335594095222767,4155970070611891,Jones-Zuniga,2267662627322945,3501466855079001,3561312635327434,"['produce', 'see', 'break']","Mann, Anderson and Burgess",2241440386606993,676114877597,3596307372955594,2004-03-20,213199620095292,Word most red place heavy chance knowledge.,Appear several song his.,6559398968355008,"['minute', 'check', 'notice']","['trial', 'out', 'score']",Tidak Aktif,001-964-102-8001,kristinmorris@example.org
"Barnes, Goodman and Conley",4000916856078505,4344982411751,"654 Jones Lake Suite 658
Sandersland, MA 50040",Kayla Soto,2254034819957745,Perempuan,Scottborough,1989-07-28,Dwayne Keith,"9977 Bradley Squares
Nicholasberg, CO 20023",East Alexanderside,East Gregoryton,Woodhaven,Stoneburgh,Wardchester,65.4589585,16.8130545,Konghuchu,30375633678867,David Dean,Swaziland,Belum Kawin,Nicholas Williams,"Production assistant, television",Tidak,345390826863226,Tidak Aktif,Tidak,4703339272420347157,6567914765061472,3587188514625191,4907501624006774,city,3577444159522462,6517136982638335,Davis LLC,4305006281779692838,3544608190243789,502069635345,"['western', 'draw', 'minute']",Brown-Jordan,6011660613545917,4672897619888348,4930540110065,2017-03-13,4661627480333964,To try ball practice imagine.,Speech produce pretty.,6588394610686358,"['bag', 'attack', 'Democrat']","['TV', 'win', 'world']",Aktif,(073)742-3770x477,vmoreno@example.org
Patton Inc,30557846416645,4109194159022678861,"93827 Henry Oval Suite 279
Scotthaven, RI 35293",Ashley Santos,30198297813517,Laki-laki,North Patriciastad,2019-08-14,Nathan Rogers,"908 Padilla Throughway Apt. 319
Port Angela, DE 94354",South Kathrynshire,Joshuaside,Jasmineton,West Cole,South Lanceburgh,2.446858,12.3417655,Konghuchu,3522697257153250,Mrs. Alicia Ochoa,Svalbard & Jan Mayen Islands,Belum Kawin,Stephen Myers,Optometrist,Tidak,3555344947579269,Tidak Aktif,Tidak,180073055570070,4288621148267745126,4016526151982129,4750506596787077,hope,4527666804580193298,2714018329871631,Irwin-Coleman,6581434907445246,30222588148795,580793171076,"['cut', 'explain', 'soldier']",Brown-Molina,3572684063189537,6011076800702072,2481263114912015,2001-05-05,4670175620796566,College particular line home board.,Church food apply successful fill somebody.,3563654451910118,"['red', 'force', 'figure']","['training', 'south', 'daughter']",Aktif,(631)846-3996x21301,ocaldwell@example.com
"Soto, Palmer and Delgado",36815868224733,4981952818216,"99211 Susan Mews Apt. 079
Woodsberg, DC 75037",Heather Collins,2254930497342706,Perempuan,Royshire,2016-08-06,Daniel Cook,"48766 Alexis Track
East Ashley, WV 10878",South Autumnmouth,North Audreystad,East Williamhaven,Fordhaven,Stewartburgh,62.982169,88.686992,Kristen,4132045908732769,Taylor Christensen,South Africa,Belum Kawin,Thomas Briggs,Counsellor,Tidak,4374227376022900,Tidak Aktif,Iya,5408242031067734,3506584277532491,30342608616892,676323374295,defense,373089285235539,343542583960692,Donaldson PLC,30045101356185,3525784347398637,375841646364236,"['analysis', 'old', 'debate']",May-Suarez,4052945371280061,3542814054520161,2649155304841054,2004-11-26,30045064502213,Half interest along.,No consider stage scene charge occur item early.,3594265108966644,"['these', 'activity', 'one']","['best', 'project', 'simply']",Tidak Aktif,327-470-3078x74775,baileyscott@example.com
Williams-Torres,180078145956098,30151722726507,"680 Gaines Park
North John, NH 80635",Robin Krueger,4258391096539519,Laki-laki,Carterberg,1982-07-17,Alexis Gentry,"820 Carol Via
Justinton, VT 34386",Lake Logan,Lake Ashley,Scottport,West Nicolestad,New Andreaside,-43.9965995,-82.6685645,Kristen,6011596751279598,Jon Smith,Gibraltar,Belum Kawin,Steven Hunt,Community arts worker,Tidak,3514447810743936,Tidak Aktif,Iya,4347409080978128783,344678384357982,6011688771229602,2552259169257102,prepare,6011032685505049,30452397053965,Reynolds-Gardner,676289229632,4327424952253673894,180093468895146,"['pattern', 'out', 'decision']",Howard Group,377726755388340,4078693745814,38857008677998,1994-03-17,30132052955304,Former around reflect early leg tonight.,Space relationship detail.,347672751584366,"['success', 'old', 'because']","['guy', 'player', 'hold']",Tidak Aktif,506.621.4641x3703,mendozacassandra@example.com
"Tran, Salinas and Mann",4030131547109602,6592749417321067,"89012 Garcia Highway
Millsbury, CO 18720",Alexis Phillips,4164501835283764,Laki-laki,New Ginabury,1974-08-15,Alexis Cabrera,"54346 Danielle Burg Apt. 303
South Christineland, MI 71985",Patriciaborough,East Roger,Lake Lauraborough,New Denise,South Joshua,61.678919,62.395159,Kristen,2684147888896519,Nicholas Stafford,Saint Helena,Kawin,Carl Kelley,Primary school teacher,Tidak,4172267683450404714,Tidak Aktif,Tidak,4969852865042647,180083977534484,4924866132808170,180034304190011,always,213176645301525,3533700650074151,"Figueroa, Ortega and Evans",180017389719945,213115601754608,4495434267555391696,"['cut', 'citizen', 'actually']",Patton-Savage,4085139948508556892,346905013907939,6011568245757059,1984-10-23,3537529191744873,Although administration space though through behavior plant.,Head nice spring raise or because begin time.,6535818905318883,"['teacher', 'community', 'week']","['some', 'spring', 'this']",Tidak Aktif,001-071-635-4494x782,karenhughes@example.org
