NIS,NISN,NAMA,NIPD,JENIS_KELAMIN,TEMPAT_LAHIR,TANGGAL_LAHIR,NIK,AGAMA,ALAMAT,RT,RW,DUSUN,KELURAHAN,KECAMATAN,KODE_POS,JENIS_TINGGAL,TELEPON,HP,EMAIL,SKHUN,PENERIMA_KPS,NO_KPS,ROMBEL_SAAT_INI,NO_PESERTA_UJIAN_NASIONAL,NO_SERI_IJAZAH,PENERIMA_KIP,NO_KKS,NO_REGRISTASI_AKTA_LAHIR,BANK,NO_REKENING_BANK,REKENING_ATAS_NAMA,LAYAK_PIP,KEBUTUHAN_KHUSUS,ANAK_KE,LINTANG,BUJUR,NO_KK,BERAT_BADAN,TINGGI_BADAN,LINGKAR_KEPALA,JUMLAH_SAUDARA_KANDUNG,JARAK_RUMAH_KESEKOLAH_KM
6540324618136319,,Kim Smith,4254128315131,Laki-laki,South Matthew,1994-09-26,4561210586826527609,Katolik,"970 Casey Mills
Coopermouth, IN 78139",231,439,Robinsonhaven,Alexandramouth,Porterfort,87635,Mandiri,,,,,,,,,,,,,,,,,,,,,,,,,,
6506457222372755,,Michele Foster,180046067169099,Perempuan,Lake Ambershire,2012-02-22,2269694481775593,Hindu,"057 Martinez Burg
Johnsonport, NH 56183",744,141,Kimshire,Woodsport,Thompsonland,68413,Mandiri,,,,,,,,,,,,,,,,,,,,,,,,,,
6500476477741197,,Christopher Johnson,180016489001360,Laki-laki,Forbesland,2003-06-03,4166024019512384873,Hindu,"3640 Johnson Trail Suite 603
Gregoryside, PA 79216",438,966,Campbellfurt,North Dianaview,Port Abigail,82795,Bersama Wali,,,,,,,,,,,,,,,,,,,,,,,,,,
6011747229749791,,Joshua Taylor,4154854015219477763,Perempuan,South Sueburgh,1989-01-28,4052588608777812,Konghuchu,"8048 Blevins Mission Apt. 283
Isaacland, DE 26275",103,393,Port Sophiaborough,Kellyland,Kellyberg,84701,Bersama Wali,,,,,,,,,,,,,,,,,,,,,,,,,,
6011188974273846,,Logan Davis,3508910019961433,Perempuan,Jenniferton,2001-12-12,4397159874197327,Kristen,"405 Charles Freeway Apt. 273
North Robertshire, ID 53164",824,82,New Christina,Chadton,Lake Julie,49099,Bersama Orang Tua,,,,,,,,,,,,,,,,,,,,,,,,,,
6011077250958644,,Erik Smith,4257809473442024208,Laki-laki,Lake Adrianborough,2020-03-28,587046647612,Hindu,"166 Lawrence Stravenue Apt. 758
Port Jorgeborough, MI 79551",84,413,Lake Martin,Lake Jeffrey,West Kevin,34806,Bersama Orang Tua,,,,,,,,,,,,,,,,,,,,,,,,,,
4993833087585589312,,Ashley Moreno,2243609287117940,Laki-laki,Juanstad,1983-09-12,6011765842320972,Katolik,"74089 Michael Summit
North Joy, NE 76289",178,721,Taylorfort,Wallaceburgh,Janefurt,34517,Bersama Orang Tua,,,,,,,,,,,,,,,,,,,,,,,,,,
4849377811032753,,Ricky Atkinson,2503836877573704,Laki-laki,East Mary,1988-12-19,4238926136870572877,Kristen,"596 John Divide
Robertsport, NM 17376",98,463,Lake Mollyland,Lyonsstad,New Jeanville,50791,Mandiri,,,,,,,,,,,,,,,,,,,,,,,,,,
4821126815955,,Gregory Cohen,38259241372216,Laki-laki,Dillonchester,2011-03-13,4081030734497373005,Katolik,"437 Thomas Ramp
Harrisonshire, AK 08100",174,593,Thomasshire,East Natalie,Walkershire,29432,Bersama Wali,,,,,,,,,,,,,,,,,,,,,,,,,,
4776107014335,,Ian Johnson DDS,4535899409783454,Perempuan,North Ronald,2012-08-07,30420125745129,Islam,"4373 Michael Forges Apt. 041
Port Zachary, NJ 41957",557,214,Joshuatown,Ayershaven,North Chelsea,57878,Bersama Wali,,,,,,,,,,,,,,,,,,,,,,,,,,
4714825752204577,,Lisa Schmidt,4125914408167,Laki-laki,Denisestad,2007-02-16,345879179892022,Islam,"272 Brian Court
West Jodi, MN 75428",964,851,Brendamouth,Parkerhaven,Port Staciehaven,59251,Mandiri,,,,,,,,,,,,,,,,,,,,,,,,,,
4709509146884,,Paul Mcgee,6505804625330016,Laki-laki,East Jackmouth,1996-03-09,6011648550438493,Katolik,"9814 Jackson Branch
Brooksmouth, WV 14914",171,579,Deborahfort,South Lisaton,Harrisport,56206,Bersama Wali,,,,,,,,,,,,,,,,,,,,,,,,,,
4632780710112202094,,Dawn Hicks,2493794336721848,Perempuan,South Kelliestad,1973-08-04,577687823754,Katolik,"4090 Warren Islands
Kimburgh, IA 88953",470,618,Wilcoxmouth,North Robin,Adrianland,41299,Bersama Orang Tua,,,,,,,,,,,,,,,,,,,,,,,,,,
4623548921924419337,,Tyler Hart,4545409262282855,Perempuan,North Tonimouth,1984-09-02,4283885089963486,Islam,"USNS Evans
FPO AA 41613",45,125,Karentown,Owenside,Mossport,49153,Mandiri,,,,,,,,,,,,,,,,,,,,,,,,,,
4613481243961284,,Kathryn Riley,4881346563828790,Perempuan,Maxshire,1983-11-05,6504543674276636,Budha,"544 Owens Trail Suite 171
South Emilyhaven, VA 16335",749,331,South Michael,West Adam,Kevinton,3110,Mandiri,,,,,,,,,,,,,,,,,,,,,,,,,,
4607004591272286511,,Kathryn Ramirez,342400521252964,Perempuan,Emilymouth,1983-10-19,213169670873047,Islam,"2067 Cervantes Branch
Petersmouth, CT 48642",768,591,Millerchester,North Jose,Mccoyville,4273,Bersama Wali,,,,,,,,,,,,,,,,,,,,,,,,,,
4550618049495952393,,Rebecca Cole,180054433116828,Perempuan,Frankland,2016-01-11,4833570785872356,Konghuchu,"7609 Benton Spurs
South Bradleyborough, CO 71175",934,751,Davidbury,Rodriguezmouth,East Mistyburgh,46188,Bersama Wali,,,,,,,,,,,,,,,,,,,,,,,,,,
4536998568124,,Christopher Simmons,30035029860863,Laki-laki,Kimberlymouth,1993-02-01,4777123172002027,Konghuchu,"25544 Austin Locks
Jamesberg, VA 45302",787,605,North Robertland,New Nicholas,South Daniel,55347,Mandiri,,,,,,,,,,,,,,,,,,,,,,,,,,
4335078874936,,Tasha Adams,180023527295459,Perempuan,Johnsonmouth,2019-01-14,213199025393136,Konghuchu,"816 Lori Drives
West Barbarastad, WA 86420",704,387,Moodyfurt,South Edward,Martinton,19450,Bersama Wali,,,,,,,,,,,,,,,,,,,,,,,,,,
4323337723354328,,Xavier Pope,4951582687779601,Laki-laki,Parkerchester,1995-08-15,6011533504918230,Konghuchu,"818 Joseph Isle Apt. 296
Michaelview, TN 14311",909,528,Smithberg,Snowfurt,Thompsontown,64226,Bersama Wali,,,,,,,,,,,,,,,,,,,,,,,,,,
4245129920128174,,Angel Hamilton,4400927177240894,Laki-laki,South Ashleymouth,2005-05-30,4275471403764642237,Islam,"56173 Flowers Station Suite 606
Matthewstad, NV 39360",257,214,Port Samantha,South Eduardo,North Ryanhaven,48615,Bersama Wali,,,,,,,,,,,,,,,,,,,,,,,,,,
4079760250019467,,Edwin Huber,213111643033812,Perempuan,Baldwinside,1974-06-16,30069038234463,Hindu,"91629 Oliver Club
Lopezview, AR 14012",353,750,Georgeton,Port Laurenton,West Jamesfort,92781,Mandiri,,,,,,,,,,,,,,,,,,,,,,,,,,
378004516502628,,Alexandra Wallace,180046932913804,Laki-laki,Port Johnhaven,2003-09-26,4093865511110772861,Islam,"PSC 3110, Box 2355
APO AP 53539",725,597,Natalieport,Lake Breannaberg,Port Christianburgh,71890,Bersama Wali,,,,,,,,,,,,,,,,,,,,,,,,,,
372574010921041,,Alexander Phillips,213103062251504,Laki-laki,Carrport,1985-08-25,2229430087149027,Katolik,"72561 Elizabeth Flats
New David, KS 01870",985,760,Hallhaven,Port David,Port Jesseland,34606,Bersama Orang Tua,,,,,,,,,,,,,,,,,,,,,,,,,,
