NIK_AYAH,NAMA_AYAH,TAHUN_LAHIR_AYAH,JENJANG_PENDIDIKAN_AYAH,PEKERJAAN_AYAH,PENGHASILAN_AYAH,NIK_IBU,NAMA_IBU,TAHUN_LAHIR_IBU,JENJANG_PENDIDIKAN_IBU,PEKERJAAN_IBU,PENGHASILAN_IBU,NIK_WALI,NAMA_WALI,TAHUN_LAHIR_WALI,JENJANG_PENDIDIKAN_WALI,PEKERJAAN_WALI,PENGHASILAN_WALI,DATA_ANAK
4136556961850,Jamie Ruiz,1998-01-24,SMP/Sederajat,Energy engineer,Rp 5.000.000; Ke Atas,4081306254476745,Caleb Jackson,1991-09-26,D1,Marine scientist,Rp 500.000;- RP 1.500.000;,2603166110452279,Donna Hawkins,2011-04-10,S2,"Scientist, forensic",Rp 1.500.000;- Rp 3.500.000;,
4351032762218840,Barry Frey,1992-02-02,D4,Telecommunications researcher,Rp 3.500.000;- Rp 5.000.000;,340013597909615,Matthew Shields,1981-04-10,Tidak Bersekolah,Fisheries officer,Kurang dari Rp 500.000;,573292268790,Amy Terry,2013-04-30,D2,Translator,Rp 1.500.000;- Rp 3.500.000;,
180002375456934,James Garza,1973-12-10,D4,Glass blower/designer,Rp 3.500.000;- Rp 5.000.000;,6574625833643320,Brittany Le,1976-12-09,D3,Chief of Staff,Rp 1.500.000;- Rp 3.500.000;,3535675345091901,Amanda Jones,2013-12-26,D2,"Education officer, environmental",Rp 500.000;- RP 1.500.000;,
3543657456465876,Danielle Lindsey,1992-04-20,SMA/Sederajat,Glass blower/designer,Rp 500.000;- RP 1.500.000;,4521198703896348143,Tonya Jones,1997-04-29,D1,"Engineer, electronics",Rp 500.000;- RP 1.500.000;,6011857950537032,Sara Lopez,1972-06-12,D2,Politician's assistant,Rp 1.500.000;- Rp 3.500.000;,
676147634379,Christopher Woodard,2021-02-21,S1,Multimedia programmer,Kurang dari Rp 500.000;,4713298652745837,Anthony Figueroa,1987-04-18,D4,Estate agent,Rp 500.000;- RP 1.500.000;,213140252506925,Sonia Garcia,2010-02-23,Tidak Bersekolah,Water quality scientist,Rp 3.500.000;- Rp 5.000.000;,
4637426588985887,Sean Barnes,1991-12-09,D2,Health and safety inspector,Rp 5.000.000; Ke Atas,4861890218711459,Nicole Johnson,2007-11-29,Tidak Bersekolah,Broadcast journalist,Rp 3.500.000;- Rp 5.000.000;,4223366529489,Amber Jones,2016-05-12,S1,Secretary/administrator,Rp 5.000.000; Ke Atas,
2225030587296122,James Foster,1999-10-25,S1,Energy manager,Rp 3.500.000;- Rp 5.000.000;,340856550596120,Lisa Choi,2002-06-11,SD/Sederajat,"Teacher, English as a foreign language",Rp 5.000.000; Ke Atas,213187463437473,Michael Ortiz,1975-06-05,SMA/Sederajat,"Engineer, civil (contracting)",Kurang dari Rp 500.000;,
180055630610984,Monica Kelly,2012-05-29,Tidak Bersekolah,Theme park manager,Rp 3.500.000;- Rp 5.000.000;,572530660776,Rodney Lee,2009-08-15,S1,Nature conservation officer,Kurang dari Rp 500.000;,30335660810114,Melissa Kelly,2021-02-04,SMP/Sederajat,Immunologist,Rp 500.000;- RP 1.500.000;,
4800703939007903642,Gregory Giles,1978-02-09,D4,Tree surgeon,Rp 500.000;- RP 1.500.000;,3528273240371864,Mr. Marcus Moore,2002-11-28,SD/Sederajat,"Engineer, structural",Rp 5.000.000; Ke Atas,4366533239597,Lisa Clements,1989-10-27,S2,Community arts worker,Rp 3.500.000;- Rp 5.000.000;,
2234205560788084,Sharon Hansen,1999-03-10,S2,"Producer, radio",Kurang dari Rp 500.000;,4034364606268157558,Tracy Morrow,2021-07-02,Tidak Bersekolah,Customer service manager,Kurang dari Rp 500.000;,375294745231742,Autumn Frank,2004-03-11,S2,Television floor manager,Rp 1.500.000;- Rp 3.500.000;,
